Date,Open,High,Low,Close,Volume,trade_value
2017/9/20,123.2,123.44,122.75,123.35,104494,5325.4
2017/9/21,123.09,123.41,122.72,122.93,80502,4932.1
2017/9/22,122.92,123.62,122.48,122.9,97692,6343.6
2017/9/25,123.31,123.31,122.02,122.37,177201,12810.8
2017/9/26,122.48,122.98,121.96,122.12,113766,7807.7
2017/9/27,122.26,123.06,122.15,122.36,130022,8151.3
2017/9/28,122.68,123.19,122.11,122.51,101329,6663.8
2017/9/29,122.82,123.75,122.46,123.5,136011,7835.1
2017/9/30,123.63,124.3,123.59,123.97,98439,4128.1
2017/10/2,124.04,124.15,123.15,123.56,126486,6083.5
2017/10/3,123.56,123.61,122.72,122.72,101023,6310.9
2017/10/5,122.8,123.35,122.8,122.82,82851,4839.1
2017/10/6,122.97,123.46,122.84,123.0,85964,6536.5
2017/10/11,123.12,123.66,122.87,122.95,100720,7220.2
2017/10/12,123.02,123.36,122.76,122.94,79230,5184.3
2017/10/13,122.98,123.81,122.98,123.81,81223,6179.5
2017/10/16,123.87,123.99,123.29,123.29,101414,7289.8
2017/10/17,123.59,123.59,122.78,122.98,109267,6786.5
2017/10/18,123.01,123.16,122.34,122.55,88046,6043.4
2017/10/19,122.62,123.16,122.37,122.4,82739,5071.6
2017/10/20,122.38,122.85,122.25,122.25,76729,5036.2
